question,vector_distances,vector_scores,bm25_scores
Read the press release and failure report for the Ariane - 5 Flight 501. An electronic copy of the failure report is available at http://www.esrin.esa.it/htdocs/tidc/Press/Press96/ariane5rep.html . The joint ESA/CNES press release is available at http://www.esrin.esa.it/htdocs/tidc/Pres/Press96/pres19.html . What kinds of tests might have exposed the problems that caused each of the failures?,"[0.39932751655578613, 0.42108267545700073, 0.42483341693878174, 0.4536588191986084, 0.46435827016830444, 0.4744715690612793, 0.4784550070762634, 0.48948532342910767, 0.5086257457733154, 0.5149161219596863, 0.5189153552055359, 0.5291623473167419, 0.5301705598831177, 0.5343235731124878, 0.5350413918495178, 0.5378265380859375, 0.5462134480476379, 0.5483942031860352, 0.564477264881134, 0.5795834064483643, 0.5847339630126953, 0.5944828987121582, 0.5947757959365845, 0.5958792567253113, 0.5963354706764221, 0.6077357530593872, 0.6095730066299438, 0.6163569092750549, 0.6196842193603516, 0.6259467601776123]","[0.6006724834442139, 0.5789173245429993, 0.5751665830612183, 0.5463411808013916, 0.5356417298316956, 0.5255284309387207, 0.5215449929237366, 0.5105146765708923, 0.49137425422668457, 0.4850838780403137, 0.4810846447944641, 0.47083765268325806, 0.4698294401168823, 0.4656764268875122, 0.4649586081504822, 0.4621734619140625, 0.45378655195236206, 0.45160579681396484, 0.43552273511886597, 0.42041659355163574, 0.4152660369873047, 0.4055171012878418, 0.4052242040634155, 0.4041207432746887, 0.4036645293235779, 0.3922642469406128, 0.39042699337005615, 0.38364309072494507, 0.38031578063964844, 0.3740532398223877]","[139.09697, 42.459244, 35.65817, 33.977062, 32.29923, 30.61406, 30.071836, 30.058086, 27.925783, 27.502388, 25.353588, 25.19105, 25.16776, 24.875164, 24.83628, 23.703718, 23.6683, 23.405323, 23.06471, 22.994667, 22.824173, 22.542156, 22.337923, 22.074518, 21.95245, 21.921425, 21.629658, 20.937326, 20.619987, 20.49936]"
What kinds of training aids and resources would be useful for users with little or no computer experience?  Give examples of aids or documentation meant for novice users.,"[0.36464428901672363, 0.40194451808929443, 0.44684433937072754, 0.45965540409088135, 0.46313852071762085, 0.4753580093383789, 0.48177218437194824, 0.48331964015960693, 0.4944153428077698, 0.502795398235321, 0.5075061321258545, 0.5078204274177551, 0.5098280310630798, 0.5129830837249756, 0.5178385972976685, 0.5254932641983032, 0.5341604351997375, 0.5357738733291626, 0.5418351888656616, 0.5530576705932617, 0.5536821484565735, 0.5651035904884338, 0.5671043395996094, 0.5682996511459351, 0.5716250538825989, 0.572217583656311, 0.5725945234298706, 0.6035288572311401, 0.6098140478134155, 0.6130357980728149]","[0.6353557109832764, 0.5980554819107056, 0.5531556606292725, 0.5403445959091187, 0.5368614792823792, 0.5246419906616211, 0.5182278156280518, 0.5166803598403931, 0.5055846571922302, 0.49720460176467896, 0.4924938678741455, 0.4921795725822449, 0.49017196893692017, 0.4870169162750244, 0.48216140270233154, 0.4745067358016968, 0.46583956480026245, 0.4642261266708374, 0.4581648111343384, 0.4469423294067383, 0.4463178515434265, 0.43489640951156616, 0.4328956604003906, 0.43170034885406494, 0.4283749461174011, 0.42778241634368896, 0.4274054765701294, 0.39647114276885986, 0.3901859521865845, 0.38696420192718506]","[22.34268, 21.937487, 21.09033, 20.640202, 20.147966, 19.255993, 18.89517, 18.795094, 18.16983, 17.930134, 17.412548, 17.354893, 17.11058, 17.091543, 16.643494, 16.57523, 16.531906, 16.519335, 16.21505, 16.20509, 15.851378, 15.531677, 15.38862, 15.09406, 15.023132, 14.978992, 14.551746, 14.406004, 14.188028, 14.122234]"
Suppose a system has functions that are rarely executed by users or operators.  What types of resources would be appropriate for these rarely used functions?,"[0.47836023569107056, 0.5013387799263, 0.5067932605743408, 0.5181074738502502, 0.5244065523147583, 0.527711033821106, 0.5329328775405884, 0.5459378361701965, 0.5502256155014038, 0.5505954027175903, 0.5524206161499023, 0.5531882047653198, 0.5533834099769592, 0.560642421245575, 0.5607801675796509, 0.5633366107940674, 0.5652713775634766, 0.5679519772529602, 0.5690892934799194, 0.5699499845504761, 0.5717241764068604, 0.5741488933563232, 0.5766198635101318, 0.5775116086006165, 0.5776036977767944, 0.5778191089630127, 0.578565239906311, 0.5787934064865112, 0.5795868039131165, 0.5796568393707275]","[0.5216397643089294, 0.49866122007369995, 0.4932067394256592, 0.48189252614974976, 0.4755934476852417, 0.47228896617889404, 0.4670671224594116, 0.45406216382980347, 0.4497743844985962, 0.44940459728240967, 0.44757938385009766, 0.4468117952346802, 0.44661659002304077, 0.43935757875442505, 0.4392198324203491, 0.4366633892059326, 0.43472862243652344, 0.4320480227470398, 0.43091070652008057, 0.4300500154495239, 0.42827582359313965, 0.42585110664367676, 0.42338013648986816, 0.42248839139938354, 0.42239630222320557, 0.4221808910369873, 0.42143476009368896, 0.42120659351348877, 0.42041319608688354, 0.42034316062927246]","[25.218607, 24.336725, 21.084925, 20.16379, 19.770895, 19.154922, 18.883862, 18.413586, 18.36126, 18.086014, 18.067314, 17.8862, 17.800676, 17.596937, 17.473078, 17.342491, 16.960249, 16.730406, 16.459068, 16.358, 16.242252, 16.224062, 15.997344, 15.86437, 15.476862, 15.472225, 15.254147, 15.048134, 15.0014305, 14.982924]"
"Often, the training and documentation needs for novice users are very different from the needs of expert users.  Give examples of cases where training aids or documentation for one user group are inappropriate for the other.","[0.39529597759246826, 0.40639376640319824, 0.4245573878288269, 0.4289499521255493, 0.43507468700408936, 0.4353979825973511, 0.45263051986694336, 0.4596530795097351, 0.4604647159576416, 0.46164894104003906, 0.47545987367630005, 0.47948282957077026, 0.48104995489120483, 0.48475050926208496, 0.486438512802124, 0.48917460441589355, 0.49303513765335083, 0.495841920375824, 0.49812769889831543, 0.5142476558685303, 0.5149542689323425, 0.5206854343414307, 0.5298048257827759, 0.5329608917236328, 0.5349152684211731, 0.5423185229301453, 0.5436089634895325, 0.5541326403617859, 0.5559749007225037, 0.5563623905181885]","[0.6047040224075317, 0.5936062335968018, 0.5754426121711731, 0.5710500478744507, 0.5649253129959106, 0.5646020174026489, 0.5473694801330566, 0.5403469204902649, 0.5395352840423584, 0.5383510589599609, 0.5245401263237, 0.5205171704292297, 0.5189500451087952, 0.515249490737915, 0.513561487197876, 0.5108253955841064, 0.5069648623466492, 0.504158079624176, 0.5018723011016846, 0.4857523441314697, 0.48504573106765747, 0.47931456565856934, 0.4701951742172241, 0.4670391082763672, 0.4650847315788269, 0.45768147706985474, 0.45639103651046753, 0.4458673596382141, 0.44402509927749634, 0.4436376094818115]","[29.874329, 26.51187, 25.45529, 23.806215, 23.626677, 22.648836, 22.20261, 21.766302, 21.495733, 21.174417, 20.888577, 20.479473, 20.458748, 20.237713, 20.161036, 20.135736, 19.92399, 19.695992, 19.044682, 18.908146, 18.742453, 18.650118, 18.40952, 18.344133, 18.221836, 17.9485, 17.669584, 17.640892, 17.61859, 17.553417]"
"The “Millenium Bug” or “Y2K problem” is perhaps the most infamous software maintenance problem. Many computer systems represent the year as only two digits and are expected to have problems in the year 2000, when the value for the new year (“00”) is suddenly less rather than greater than the value for the previous year (“99”). Find a discussion of the Y2K problem written for nonscientists, for example, in a newspaper or popular magazine. How many of the maintenance problems listed in section 11.3 are accurately presented in the article? Are there issues in section 11.3 that contribute to the Y2K problem but are not given in the article?","[0.428272545337677, 0.48027288913726807, 0.48068028688430786, 0.49315857887268066, 0.49723386764526367, 0.5043337345123291, 0.5157941579818726, 0.522803008556366, 0.5275023579597473, 0.5288431644439697, 0.5327721834182739, 0.5450361967086792, 0.5457361936569214, 0.5463442802429199, 0.5487796664237976, 0.5533448457717896, 0.5564366579055786, 0.5591096878051758, 0.5613137483596802, 0.5615885257720947, 0.5661375522613525, 0.5663335919380188, 0.5681649446487427, 0.5683557987213135, 0.5693750977516174, 0.5716382265090942, 0.5719865560531616, 0.5731799602508545, 0.5737907886505127, 0.5762636065483093]","[0.571727454662323, 0.5197271108627319, 0.5193197131156921, 0.5068414211273193, 0.5027661323547363, 0.4956662654876709, 0.48420584201812744, 0.47719699144363403, 0.4724976420402527, 0.4711568355560303, 0.4672278165817261, 0.4549638032913208, 0.4542638063430786, 0.4536557197570801, 0.4512203335762024, 0.44665515422821045, 0.4435633420944214, 0.4408903121948242, 0.4386862516403198, 0.4384114742279053, 0.43386244773864746, 0.4336664080619812, 0.4318350553512573, 0.4316442012786865, 0.43062490224838257, 0.42836177349090576, 0.4280134439468384, 0.4268200397491455, 0.4262092113494873, 0.4237363934516907]","[36.34346, 35.866806, 35.731987, 34.98379, 34.7187, 34.128834, 31.338268, 31.049809, 30.902454, 30.555693, 30.555523, 30.203058, 30.193739, 30.146368, 30.107754, 30.057575, 29.60244, 29.498405, 29.403784, 29.155525, 28.74451, 28.695961, 28.679531, 28.386385, 27.93319, 27.917011, 27.726822, 27.711422, 27.569805, 27.214561]"
"The Software Engineering Laboratory (SEL) at NASA's Goddard Space Flight Center collects data from all phases of its software development projects. When users fill out failure reports, they are asked to indicate the severity of the defect according to the following scale: major defect with no workaround; major defect, but workaround exists; cosmetic defect. How can this information be used to help the SEL understand its maintenance process better?","[0.3956422805786133, 0.4199686050415039, 0.4462655782699585, 0.446586012840271, 0.44990628957748413, 0.45280230045318604, 0.45284324884414673, 0.4538058638572693, 0.45455121994018555, 0.4601169228553772, 0.46692168712615967, 0.4684438705444336, 0.4691503047943115, 0.4725613594055176, 0.4764636754989624, 0.4797500967979431, 0.4859168529510498, 0.48611581325531006, 0.4861341714859009, 0.48729407787323, 0.4876450300216675, 0.489488422870636, 0.49080342054367065, 0.4942789673805237, 0.49589431285858154, 0.49767541885375977, 0.49838417768478394, 0.5041363835334778, 0.50501549243927, 0.5060323476791382]","[0.6043577194213867, 0.5800313949584961, 0.5537344217300415, 0.553413987159729, 0.5500937104225159, 0.547197699546814, 0.5471567511558533, 0.5461941361427307, 0.5454487800598145, 0.5398830771446228, 0.5330783128738403, 0.5315561294555664, 0.5308496952056885, 0.5274386405944824, 0.5235363245010376, 0.5202499032020569, 0.5140831470489502, 0.5138841867446899, 0.5138658285140991, 0.51270592212677, 0.5123549699783325, 0.510511577129364, 0.5091965794563293, 0.5057210326194763, 0.5041056871414185, 0.5023245811462402, 0.5016158223152161, 0.4958636164665222, 0.49498450756073, 0.4939676523208618]","[50.08784, 41.62408, 38.76959, 34.763557, 33.36058, 32.87511, 32.67567, 32.14658, 31.204407, 30.997717, 30.973196, 30.939686, 30.255438, 29.572292, 29.516218, 29.019543, 28.298885, 27.742382, 27.611336, 27.500494, 27.327564, 27.179102, 27.067776, 27.007736, 26.848433, 26.829613, 26.773092, 26.77148, 26.676153, 26.529612]"
"Maintenance is an area of great interest to software engineering researchers. Conferences and workshops such as ICSM (the International Conference on Software Maintenance) and WESS (the Workshop on Empirical Studies of Software maintenance) are devoted exclusively to maintenance issues, as is the Journal of Software Maintenance. Review a recent conference proceedings or journal issue and summarize the types of problems maintenance research addresses.","[0.2717825174331665, 0.32375943660736084, 0.3859293460845947, 0.4073168635368347, 0.4081023931503296, 0.41352659463882446, 0.41523104906082153, 0.41735535860061646, 0.41946035623550415, 0.4257712960243225, 0.43671977519989014, 0.43705594539642334, 0.4393209218978882, 0.4410683512687683, 0.4445153474807739, 0.4457906484603882, 0.4486549496650696, 0.45016759634017944, 0.4533393979072571, 0.45536428689956665, 0.45670562982559204, 0.45713698863983154, 0.459322452545166, 0.4607280492782593, 0.46392297744750977, 0.46550482511520386, 0.46990954875946045, 0.46996796131134033, 0.47138750553131104, 0.4770292043685913]","[0.7282174825668335, 0.6762405633926392, 0.6140706539154053, 0.5926831364631653, 0.5918976068496704, 0.5864734053611755, 0.5847689509391785, 0.5826446413993835, 0.5805396437644958, 0.5742287039756775, 0.5632802248001099, 0.5629440546035767, 0.5606790781021118, 0.5589316487312317, 0.5554846525192261, 0.5542093515396118, 0.5513450503349304, 0.5498324036598206, 0.5466606020927429, 0.5446357131004333, 0.543294370174408, 0.5428630113601685, 0.540677547454834, 0.5392719507217407, 0.5360770225524902, 0.5344951748847961, 0.5300904512405396, 0.5300320386886597, 0.528612494468689, 0.5229707956314087]","[65.5838, 62.3947, 50.596443, 50.11421, 43.865738, 43.38636, 40.8552, 38.950813, 38.463467, 38.095013, 37.14876, 36.351448, 35.952175, 35.94701, 35.86332, 35.620716, 35.53047, 35.459465, 34.147095, 33.833355, 33.0326, 32.72697, 32.047523, 31.82287, 31.752426, 31.536602, 31.053766, 29.893856, 29.276619, 28.955427]"
"Researchers with the Institute for Information Technology of the National Research Council, Canada, study maintenance by observing th e work practices of software engineers who are engaged in maintenance projects. A paper by Janice Singer and Timothy Lethbridge summarizes the methods they use to collect this type of data. (J. Singer, T. Lethbridge (1996). “Methods for Studying Maintenanc e Activities.” In Proceedings of the International Workshop on Empirical Studies of Software Maintenance, Monterey, CA. Also available at http://wwwsel.iit.nrc.ca/projects/easse/). Summarize this paper from the viewpoint of a software maintainer. How disru ptive are the data collection methods likely to be to the maintainer's work practices? What does the maintainer stand to gain by participating in such a study?","[0.30819523334503174, 0.3539680242538452, 0.36432021856307983, 0.3725700378417969, 0.3728579878807068, 0.3787071704864502, 0.3897850513458252, 0.39037513732910156, 0.3905593752861023, 0.3917231559753418, 0.39299696683883667, 0.40019071102142334, 0.40298140048980713, 0.4064755439758301, 0.40688031911849976, 0.4077262878417969, 0.4085206985473633, 0.4165096879005432, 0.42044246196746826, 0.42120546102523804, 0.4217360019683838, 0.4282589554786682, 0.4318525791168213, 0.4332137107849121, 0.4386674761772156, 0.4394669532775879, 0.440149188041687, 0.4439350366592407, 0.4457441568374634, 0.45311135053634644]","[0.6918047666549683, 0.6460319757461548, 0.6356797814369202, 0.6274299621582031, 0.6271420121192932, 0.6212928295135498, 0.6102149486541748, 0.6096248626708984, 0.6094406247138977, 0.6082768440246582, 0.6070030331611633, 0.5998092889785767, 0.5970185995101929, 0.5935244560241699, 0.5931196808815002, 0.5922737121582031, 0.5914793014526367, 0.5834903120994568, 0.5795575380325317, 0.578794538974762, 0.5782639980316162, 0.5717410445213318, 0.5681474208831787, 0.5667862892150879, 0.5613325238227844, 0.5605330467224121, 0.559850811958313, 0.5560649633407593, 0.5542558431625366, 0.5468886494636536]","[54.52664, 54.317257, 53.042034, 51.180855, 50.40215, 50.18887, 48.994923, 48.578743, 48.445637, 46.61081, 46.387623, 46.090904, 45.70199, 45.564518, 45.12328, 45.011757, 44.769573, 43.972466, 43.674774, 43.452587, 42.150433, 42.07303, 42.02419, 41.510864, 40.962055, 39.667057, 39.09653, 39.04067, 38.88788, 37.68315]"
"Revisit the program you wrote for exercise 1, Chapter 7.  Change the underlying data structure o f the stack to a linked list rather than an array, and the data type of the stack elements to a string rather than an integer. How hard was this to do? On what types of activities did you spend your time? Critique your earlier program in terms of maintenan ce effort, paying attention to ideas such as comments, modularity, encapsulation, and others that affected the ease or difficulty of this task.","[0.36576807498931885, 0.44551360607147217, 0.4475255012512207, 0.4596453905105591, 0.4634615182876587, 0.4637780785560608, 0.4668757915496826, 0.47083115577697754, 0.4724452495574951, 0.47976934909820557, 0.48069286346435547, 0.4820175766944885, 0.48718923330307007, 0.48887866735458374, 0.49141454696655273, 0.49286311864852905, 0.4947130084037781, 0.5006484389305115, 0.5033124685287476, 0.50398850440979, 0.5069932341575623, 0.5082244873046875, 0.50978684425354, 0.5110377669334412, 0.5126165151596069, 0.5132831931114197, 0.520606279373169, 0.5208885073661804, 0.521144688129425, 0.5221656560897827]","[0.6342319250106812, 0.5544863939285278, 0.5524744987487793, 0.5403546094894409, 0.5365384817123413, 0.5362219214439392, 0.5331242084503174, 0.5291688442230225, 0.5275547504425049, 0.5202306509017944, 0.5193071365356445, 0.5179824233055115, 0.5128107666969299, 0.5111213326454163, 0.5085854530334473, 0.507136881351471, 0.5052869915962219, 0.4993515610694885, 0.49668753147125244, 0.49601149559020996, 0.49300676584243774, 0.4917755126953125, 0.49021315574645996, 0.48896223306655884, 0.48738348484039307, 0.4867168068885803, 0.47939372062683105, 0.4791114926338196, 0.47885531187057495, 0.4778343439102173]","[41.904095, 40.548523, 39.309776, 38.497375, 38.191887, 37.87836, 37.430847, 36.220802, 33.86724, 33.85448, 33.066654, 32.77899, 32.608803, 32.361813, 30.992964, 30.78366, 30.737555, 30.520214, 30.007595, 29.990335, 29.961582, 29.878477, 29.785538, 29.313782, 29.082119, 28.892027, 28.870123, 28.712154, 28.674778, 28.243103]"
"In the key references section of this chapter, it is noted that the journal Empirical Software Engineering publishes not only descriptions of empirical studies, but data from these studies as well. What do you think are some of the benefits to other researchers of having access to the data? Are there any benefits to practitioners?","[0.40598833560943604, 0.43400830030441284, 0.43446624279022217, 0.4484577178955078, 0.45910733938217163, 0.4674416780471802, 0.4703291058540344, 0.47083574533462524, 0.4710937738418579, 0.4738198518753052, 0.4748460650444031, 0.48196935653686523, 0.48357653617858887, 0.4845046401023865, 0.48501068353652954, 0.491701602935791, 0.4920610785484314, 0.4936552047729492, 0.49670732021331787, 0.4984648823738098, 0.4990661144256592, 0.49977362155914307, 0.5022459030151367, 0.5046112537384033, 0.5077263712882996, 0.5092141628265381, 0.5136923789978027, 0.5158368945121765, 0.5168247818946838, 0.5188809037208557]","[0.594011664390564, 0.5659916996955872, 0.5655337572097778, 0.5515422821044922, 0.5408926606178284, 0.5325583219528198, 0.5296708941459656, 0.5291642546653748, 0.5289062261581421, 0.5261801481246948, 0.5251539349555969, 0.5180306434631348, 0.5164234638214111, 0.5154953598976135, 0.5149893164634705, 0.508298397064209, 0.5079389214515686, 0.5063447952270508, 0.5032926797866821, 0.5015351176261902, 0.5009338855743408, 0.5002263784408569, 0.4977540969848633, 0.4953887462615967, 0.49227362871170044, 0.4907858371734619, 0.48630762100219727, 0.4841631054878235, 0.48317521810531616, 0.4811190962791443]","[53.003902, 39.543015, 36.83359, 36.464478, 34.272205, 33.507492, 29.983894, 29.599892, 29.21468, 28.372116, 27.91315, 27.87836, 27.57122, 26.863735, 26.8496, 26.772291, 26.259312, 25.61656, 25.378092, 25.36592, 25.151909, 25.142042, 25.122013, 25.108168, 24.43114, 24.248367, 23.958298, 23.83618, 23.817451, 23.675596]"
"Give an example, from a previous programming project, of when you engaged in black - box reuse. What are some of the benefits that can be expected from black - box reuse?  What are some drawbacks? Give an example of a system for which black - box reuse would not h ave been appropriate.","[0.35718876123428345, 0.3576611280441284, 0.41055190563201904, 0.4125242233276367, 0.419384241104126, 0.43064701557159424, 0.4353440999984741, 0.43905580043792725, 0.4464797377586365, 0.44755446910858154, 0.45556747913360596, 0.4567975401878357, 0.4689730405807495, 0.46926140785217285, 0.4725154638290405, 0.47944414615631104, 0.48327165842056274, 0.48403602838516235, 0.49018287658691406, 0.4922994375228882, 0.4925652742385864, 0.49885088205337524, 0.49947023391723633, 0.5039485096931458, 0.5102953910827637, 0.5133848786354065, 0.5142218470573425, 0.5151615142822266, 0.5165526866912842, 0.521692156791687]","[0.6428112387657166, 0.6423388719558716, 0.589448094367981, 0.5874757766723633, 0.580615758895874, 0.5693529844284058, 0.5646559000015259, 0.5609441995620728, 0.5535202622413635, 0.5524455308914185, 0.544432520866394, 0.5432024598121643, 0.5310269594192505, 0.5307385921478271, 0.5274845361709595, 0.520555853843689, 0.5167283415794373, 0.5159639716148376, 0.5098171234130859, 0.5077005624771118, 0.5074347257614136, 0.5011491179466248, 0.5005297660827637, 0.49605149030685425, 0.48970460891723633, 0.4866151213645935, 0.48577815294265747, 0.48483848571777344, 0.4834473133087158, 0.478307843208313]","[31.520828, 26.516598, 25.552082, 24.72529, 23.072376, 22.73341, 22.439447, 22.423405, 22.201279, 20.917635, 20.765446, 20.686094, 20.622244, 20.321274, 20.261389, 20.030392, 19.904982, 19.63265, 19.602877, 19.592573, 19.54533, 19.442772, 19.406416, 19.35844, 19.225346, 19.205362, 19.167944, 19.065405, 18.725403, 18.59023]"
