question,context,answer,retrieve_time_sec,generate_time_sec
At this point, the system operates the way the designers intend. We call this a verified  system ; it  is  the  designers'  interpretation  of  the  requirements  specification. Next, we  compare  the  system  with  the  customer's  expectations  by  reviewing  the requirements definition document. If we are satisfied that the system we have built meets the requirements, then we have a validated system ; that is, we have verified that the requirements have been met.
So far, all the tests have been run by the developers, based on their understanding of the system and its objectives. The customers also test the system, making sure that it meets their understanding of the requirements, which may be different from the developers'. This test, called an acceptance test , assures the customers that the system they requested is the system that was built for them.The acceptance test is sometimes run in its actual environment but often is run at a test facility different from the target location. For  this  reason, we  may  run  a  final installation  test to  allow  users  to  exercise system  functions  and  document  additional  problems  that  result  from  being  at  the actual site. For example, a naval system may be designed, built, and tested at the developer's site, configured as a ship might be, but not on an actual ship. Once the development site tests are complete, an additional set of installation tests may be run with the system on board each type of ship that will eventually use the system.


[3]
[SECTION]: Testing the Programs > 8.4 Integration Testing > Top-Down Integration
[CONTENT]: A disadvantage to top-down testing is the possibility that a very large number of stubs may be required. This situation can arise when the lowest system level contains many general-purpose routines. One way to avoid this problem is to alter the strategy slightly. Rather  than  incorporate  an  entire  level  at  a  time, a  modified  top-down approach tests each level's components individually before the merger takes place. For instance, our sample system can be tested with the modified approach by first testing A, then testing B, C, and D, and then merging the four for a test of the first and second levels.Then E, F, and G are tested by themselves. Finally, the entire system is combined for a test, as shown in Figure 8.11.
Testing each level's components individually introduces another difficulty. Both stubs and drivers are needed for each component, leading to much more coding and many potential problems.


[4]
[SECTION]: Testing the Programs > 8.2 Testing Issues
[CONTENT]: Many types of tests are done before we can release the system to the customer with confidence that it will work properly. Some tests depend on what is being tested: components,groups of components,subsystems,or the whole system.Other tests depend on what we want to know: Is the system working according to the design? The requirements? The customer's expectations? Let us consider some of these issues.


[5]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: Unit
[FIGURE_DESCRIPTIONS]
[0] Diagram illustrating software testing steps from component code to system in use. The process starts with unit tests on individual component code. Multiple components undergo integration tests to form integrated modules. These modules are subjected to function tests to verify system functional requirements. Next, performance tests assess other software requirements. Acceptance tests validate customer requirements, ensuring the software is verified and validated. Finally, installation tests confirm user environment specifications, resulting in an accepted system ready for use. The diagram shows a flow from tested components through tested development stages to the final system in use, with arrows indicating progression and labels for each test type and requirement category.

","The defect described—a variable not being initialized properly within a function of a component—would most likely be exposed during **unit testing**. Unit testing focuses on testing individual components or functions by themselves to ensure they work correctly.

Therefore, the correct answer is:

a. unit testing",2.012,3.582
"The following questions are in reference to a hypothetical ""Gas Station Control System"" (or GSCS) that will be used to help manage an American-style gasoline or service station. Our hypothetical gas station basically provides two services:
• There is a small store that carries car parts. Inside the store is at least one cash register, operated by a cashier who is an employee of the
gas station.
• There are a number of gas pumps, at which customers can park their cars, interact with the system to pay via credit card, and then pump their own gas. Alternatively, the customer can pay for his or her gas via cash or credit card by going into the store and paying directly to the cashier.

Thus the GSCS has two main classes of users. The first is the cashier, who uses the GSCS to record purchases of car parts by customers. The GSCS must allow the cashier to enter the type and number of parts purchased, then compute the total
purchase price and handle the payment. Customers purchasing gasoline are the second type of user. These customers interface with the system at the gas pump, by specifying the amount and type of gas they will buy, paying either at the pump or to the cashier, and then pumping the gas themselves.
The system also has to interact with other automated systems to perform its tasks. For example, in order to accept credit card payments, the GSCS must interface with a system maintained by the credit card company. The credit card
system is responsible for checking that the customer's account is in good standing and can accommodate the amount of the purchase, and for debiting the customer's account and eventually reimbursing the gas station. The operation of
these external systems is beyond the scope of the GSCS, although the GSCS needs to know how the external systems will communicate the success or failure of their tasks.
The team has finished the design of the system and has begun coding.

21. A function X in component A requires a pointer to an integer to be passed as an argument, but a call to the function X in component B passes the value of an integer instead. Which type of testing would most likely expose this defect?
a. unit testing of component A
b. integration testing of components A and B
c. performance testing
d. installation testing
e. acceptance testing","
[0]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: When the performance test is complete, we developers are certain that the system functions according to our understanding of the system description.The next step is conferring with the customer to make certain that the system works according to customer expectations. We join the customer to perform an acceptance test , where the system is checked against the customer's requirements description. Upon completion of acceptance testing, the accepted system is installed in the environment in which it will be used; a final installation test is run to make sure that the system still functions as it should.
Figure 8.3 illustrates the relationship among these testing steps. No matter the size of the system being tested, the type of testing described in each step is necessary for ensuring proper functioning. In this chapter, we focus primarily on unit and integration testing, where components are tested by themselves and then merged into a larger, working system. In Chapter 9, we will look at the remaining steps in the testing process, collectively called system testing . In these later steps, the system is viewed and tested as a whole rather than as separate pieces.


[1]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > System Testing Process
[CONTENT]: Once  the  test  team  is  convinced  that  the  functions  work  as  specified, the performance test compares the integrated components with the nonfunctional system requirements. These requirements, including security, accuracy, speed, and reliability, constrain the way in which the system functions are performed. For instance, a performance test of the bank account package evaluates the speed with which calculations are made, the precision of the computation, the security precautions required, and the response time to user inquiry.
At this point, the system operates the way the designers intend. We call this a verified  system ; it  is  the  designers'  interpretation  of  the  requirements  specification. Next, we  compare  the  system  with  the  customer's  expectations  by  reviewing  the requirements definition document. If we are satisfied that the system we have built meets the requirements, then we have a validated system ; that is, we have verified that the requirements have been met.
So far, all the tests have been run by the developers, based on their understanding of the system and its objectives. The customers also test the system, making sure that it meets their understanding of the requirements, which may be different from the developers'. This test, called an acceptance test , assures the customers that the system they requested is the system that was built for them.The acceptance test is sometimes run in its actual environment but often is run at a test facility different from the target location. For  this  reason, we  may  run  a  final installation  test to  allow  users  to  exercise system  functions  and  document  additional  problems  that  result  from  being  at  the actual site. For example, a naval system may be designed, built, and tested at the developer's site, configured as a ship might be, but not on an actual ship. Once the development site tests are complete, an additional set of installation tests may be run with the system on board each type of ship that will eventually use the system.


[2]
[SECTION]: Testing the Programs > 8.4 Integration Testing > Bottom-Up Integration
[CONTENT]: One  popular  approach  for  merging  components  to  test  the  larger  system  is  called bottom-up testing . When this method is used, each component at the lowest level of the system hierarchy is tested individually first.Then, the next components to be tested are those that call the previously tested ones.This approach is followed repeatedly until all components are included in the testing.The bottom-up method is useful when many of the low-level components are general-purpose utility routines that are invoked often by others, when the design is object-oriented, or when the system is integrating a large number of stand-alone reused components.
For example, consider the components and hierarchy in Figure 8.8. To test this system from the bottom up, we first test the lowest level: E, F, and G. Because we have no components ready to call these lowest-level programs, we write special code to aid the integration. A component driver is a routine that calls a particular component and passes a test case to it.The driver is not difficult to code, since it rarely requires complex processing. However, care is taken to be sure that the driver's interface with the test component is defined properly. Sometimes, test data can be supplied automatically in a special-purpose language that facilitates defining the data.


[3]
[SECTION]: Testing the Programs > 8.4 Integration Testing > Top-Down Integration
[CONTENT]: A disadvantage to top-down testing is the possibility that a very large number of stubs may be required. This situation can arise when the lowest system level contains many general-purpose routines. One way to avoid this problem is to alter the strategy slightly. Rather  than  incorporate  an  entire  level  at  a  time, a  modified  top-down approach tests each level's components individually before the merger takes place. For instance, our sample system can be tested with the modified approach by first testing A, then testing B, C, and D, and then merging the four for a test of the first and second levels.Then E, F, and G are tested by themselves. Finally, the entire system is combined for a test, as shown in Figure 8.11.
Testing each level's components individually introduces another difficulty. Both stubs and drivers are needed for each component, leading to much more coding and many potential problems.


[4]
[SECTION]: Testing the Programs > 8.2 Testing Issues
[CONTENT]: Many types of tests are done before we can release the system to the customer with confidence that it will work properly. Some tests depend on what is being tested: components,groups of components,subsystems,or the whole system.Other tests depend on what we want to know: Is the system working according to the design? The requirements? The customer's expectations? Let us consider some of these issues.


[5]
[SECTION]: Testing the System > 9.2 Function Testing
[CONTENT]: System testing begins with function testing. Whereas previous tests concentrated on components and their interactions, this first step ignores system structure and focuses on functionality. Our approach from now on is more closed box than open.We need not know which component is being executed; rather, we must know what the system is supposed to do.Thus, function testing is based on the system's functional requirements.


[6]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: Unit
[FIGURE_DESCRIPTIONS]
[0] Diagram illustrating software testing steps from component code to system in use. The process starts with unit tests on individual component code. Multiple components undergo integration tests to form integrated modules. These modules are subjected to function tests to verify system functional requirements. Next, performance tests assess other software requirements. Acceptance tests validate customer requirements, ensuring the software is verified and validated. Finally, installation tests confirm user environment specifications, resulting in an accepted system ready for use. The diagram shows a flow from tested components through tested development stages to the final system in use, with arrows indicating progression and labels for each test type and requirement category.

","The defect described involves a mismatch in the way a function argument is passed between two components (A and B). This type of issue arises when components interact with each other, specifically in how data is passed between them.

- Unit testing of component A (option a) would test component A in isolation and might not reveal the problem if the incorrect call is made from component B.
- Integration testing of components A and B (option b) focuses on testing the interaction between components, which would likely expose this defect because it involves the interface between A and B.
- Performance testing (option c) focuses on nonfunctional requirements like speed and reliability, not argument passing.
- Installation testing (option d) is done after the system is installed in its environment and is unlikely to focus on such low-level interface issues.
- Acceptance testing (option e) is done by the customer to verify the system meets requirements and is unlikely to catch this specific technical defect.

Therefore, the most appropriate type of testing to expose this defect is:

b. integration testing of components A and B",3.203,2.932
"The following questions are in reference to a hypothetical ""Gas Station Control System"" (or GSCS) that will be used to help manage an American-style gasoline or service station. Our hypothetical gas station basically provides two services:
• There is a small store that carries car parts. Inside the store is at least one cash register, operated by a cashier who is an employee of the
gas station.
• There are a number of gas pumps, at which customers can park their cars, interact with the system to pay via credit card, and then pump their own gas. Alternatively, the customer can pay for his or her gas via cash or credit card by going into the store and paying directly to the cashier.

Thus the GSCS has two main classes of users. The first is the cashier, who uses the GSCS to record purchases of car parts by customers. The GSCS must allow the cashier to enter the type and number of parts purchased, then compute the total
purchase price and handle the payment. Customers purchasing gasoline are the second type of user. These customers interface with the system at the gas pump, by specifying the amount and type of gas they will buy, paying either at the pump or to the cashier, and then pumping the gas themselves.
The system also has to interact with other automated systems to perform its tasks. For example, in order to accept credit card payments, the GSCS must interface with a system maintained by the credit card company. The credit card
system is responsible for checking that the customer's account is in good standing and can accommodate the amount of the purchase, and for debiting the customer's account and eventually reimbursing the gas station. The operation of
these external systems is beyond the scope of the GSCS, although the GSCS needs to know how the external systems will communicate the success or failure of their tasks.
The team has finished the design of the system and has begun coding.

22. The gas pump subsystem is supposed to allow the user to choose whether or not a receipt is printed, but the print function has not been implemented. Which type of testing would most likely expose this defect?
a. unit testing
b. integration testing
c. performance testing
d. acceptance testing
e. function testing","
[0]
[SECTION]: Designing the Modules > 6.4 Representing Oo Designs In The Uml > SIDEBAR 6.4 ROYAL SERVICE STATION REQUIREMENTS
[CONTENT]:  - The system must handle the data requirements for interfacing with other systems.A credit card  system  is  used  to  process  credit  card  transactions  for  products  and  services. The credit card system uses the card number, name, expiration date, and amount of the purchase. After receiving this information, the credit card system confirms that the transaction is approved or denied.The parts ordering system receives the part code and number of parts needed. It returns the date of parts delivery. The fuel ordering system requires a fuel order description consisting of fuel type, number of gallons, station name, and station identification code. It returns the date when the fuel will be delivered.
 - The system must record tax and related information, including tax paid by each customer, as well as tax per item.
 - The station manager must be able to review tax records upon demand.
 - The system will send periodic messages to customers, reminding them when their vehicles are due for maintenance. Normally, maintenance is needed every six months.
 - Customers can rent parking spaces in the station parking lot on a day-to-day basis. Each customer must request from the system an available parking space. The station manager can  view  a  monthly  report  summarizing  how  many  parking  spaces  were  available  or occupied.
 - The system maintains a repository of account information, accessible by account numbers and by customer name.
 - The station manager must be able to review accounting information upon demand.
 - The system can report an analysis of prices and discounts to the station manager upon request.
 - The system will automatically notify the owners of dormant accounts. That is, customers who did not make service station purchases over a two-month period will be contacted.
 - The system cannot be unavailable for more than 24 hours.
 - The system must protect customer information from unauthorized access.


[1]
[SECTION]: Designing the Modules > 6.4 Representing Oo Designs In The Uml > SIDEBAR 6.4 ROYAL SERVICE STATION REQUIREMENTS
[CONTENT]:  - The Royal Service Station provides three types of services to its customers: refueling, vehicle maintenance, and parking.That is, a customer can add fuel to the tank of his or her vehicle (car, motorcycle, or truck), can have the vehicle repaired, or can park the vehicle in the station parking lot.A customer has the option to be billed automatically at the time of purchase (of fuel, maintenance, or parking) or to be sent a monthly paper bill. In either case, customers can pay using cash,credit card,or personal check.Royal Service Station fuel is sold according to price per gallon, depending on whether the fuel is diesel, regular, or premium.Service is priced according to the cost of parts and labor. Parking is sold according to daily, weekly, and monthly rates.The prices for fuel, maintenance services,parts,and parking may vary; only Manny, the station manager, can enter or change prices. At his discretion, Manny may designate a discount on purchases for a particular customer; this discount may vary from one customer to another.A 5% local sales tax applies to all purchases.
 - The system must track bills on a month-to-month basis and the products and services provided by the gas station on a day-to-day basis.The results of this tracking can be reported to the station manager upon request.
 - The station manager uses the system to control inventory. The system will warn of low inventory and automatically order new parts and fuel.
 - The system will track credit history and send warning letters to customers whose payments are overdue. Bills are sent to customers on the first day of the month after the purchases are made. Payment is due on the first day of the succeeding month. Any bill not paid within 90 days of the billing date will result in cancellation of the customer's credit.
 - The system applies only to regular repeat customers. A regular repeat customer means a customer identified by name, address, and birthdate who uses the station's services at least once per month for at least six months.


[2]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: When the performance test is complete, we developers are certain that the system functions according to our understanding of the system description.The next step is conferring with the customer to make certain that the system works according to customer expectations. We join the customer to perform an acceptance test , where the system is checked against the customer's requirements description. Upon completion of acceptance testing, the accepted system is installed in the environment in which it will be used; a final installation test is run to make sure that the system still functions as it should.
Figure 8.3 illustrates the relationship among these testing steps. No matter the size of the system being tested, the type of testing described in each step is necessary for ensuring proper functioning. In this chapter, we focus primarily on unit and integration testing, where components are tested by themselves and then merged into a larger, working system. In Chapter 9, we will look at the remaining steps in the testing process, collectively called system testing . In these later steps, the system is viewed and tested as a whole rather than as separate pieces.


[3]
[SECTION]: Testing the System > 9.3 Performance Testing > Types of Performance Tests
[CONTENT]:  - Documentation tests ensure that we have written the required documents.Thus, if user guides, maintenance guides, and technical documents are needed, we verify that  these  materials  exist  and  that  the  information  they  contain  is  consistent, accurate, and easy to read. Moreover, sometimes requirements specify the format and audience of the documentation; we evaluate the documents for compliance.
 - Human factors tests investigate requirements dealing with the user interface to the  system. We  examine  display  screens, messages, report  formats, and  other aspects that may relate to ease of use. In addition, operator and user procedures are checked to see if they conform to ease of use requirements. These tests are sometimes called usability tests .
Many of these tests are much more difficult to administer than the function tests. Requirements must be explicit and detailed, and requirements quality is often reflected in the ease of performance testing. Unless a requirement is clear and testable, in the sense defined in Chapter 4, it is hard for the test team to know when the requirement is satisfied. Indeed, it may even be difficult to know how to administer a test because success is not well-defined.


[4]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: Unit
[FIGURE_DESCRIPTIONS]
[0] Diagram illustrating software testing steps from component code to system in use. The process starts with unit tests on individual component code. Multiple components undergo integration tests to form integrated modules. These modules are subjected to function tests to verify system functional requirements. Next, performance tests assess other software requirements. Acceptance tests validate customer requirements, ensuring the software is verified and validated. Finally, installation tests confirm user environment specifications, resulting in an accepted system ready for use. The diagram shows a flow from tested components through tested development stages to the final system in use, with arrows indicating progression and labels for each test type and requirement category.

","The defect described is related to a missing implementation of a specific function (the print function) within the gas pump subsystem. This type of defect is typically identified when testing individual components or modules to ensure they work correctly on their own.

Therefore, the most likely type of testing to expose this defect is:

a. unit testing",2.796,1.592
"The following questions are in reference to a hypothetical ""Gas Station Control System"" (or GSCS) that will be used to help manage an American-style gasoline or service station. Our hypothetical gas station basically provides two services:
• There is a small store that carries car parts. Inside the store is at least one cash register, operated by a cashier who is an employee of the
gas station.
• There are a number of gas pumps, at which customers can park their cars, interact with the system to pay via credit card, and then pump their own gas. Alternatively, the customer can pay for his or her gas via cash or credit card by going into the store and paying directly to the cashier.

Thus the GSCS has two main classes of users. The first is the cashier, who uses the GSCS to record purchases of car parts by customers. The GSCS must allow the cashier to enter the type and number of parts purchased, then compute the total
purchase price and handle the payment. Customers purchasing gasoline are the second type of user. These customers interface with the system at the gas pump, by specifying the amount and type of gas they will buy, paying either at the pump or to the cashier, and then pumping the gas themselves.
The system also has to interact with other automated systems to perform its tasks. For example, in order to accept credit card payments, the GSCS must interface with a system maintained by the credit card company. The credit card
system is responsible for checking that the customer's account is in good standing and can accommodate the amount of the purchase, and for debiting the customer's account and eventually reimbursing the gas station. The operation of
these external systems is beyond the scope of the GSCS, although the GSCS needs to know how the external systems will communicate the success or failure of their tasks.
The team has finished the design of the system and has begun coding.

23. A configuration file used by the reporting subsystem is not placed in the correct directory in the customer's environment. Which type of testing would most likely expose this defect?
a. integration testing
b. installation testing
c. performance testing
d. acceptance testing
e. function testing","
[0]
[SECTION]: Designing the Modules > 6.4 Representing Oo Designs In The Uml > SIDEBAR 6.4 ROYAL SERVICE STATION REQUIREMENTS
[CONTENT]:  - The system must handle the data requirements for interfacing with other systems.A credit card  system  is  used  to  process  credit  card  transactions  for  products  and  services. The credit card system uses the card number, name, expiration date, and amount of the purchase. After receiving this information, the credit card system confirms that the transaction is approved or denied.The parts ordering system receives the part code and number of parts needed. It returns the date of parts delivery. The fuel ordering system requires a fuel order description consisting of fuel type, number of gallons, station name, and station identification code. It returns the date when the fuel will be delivered.
 - The system must record tax and related information, including tax paid by each customer, as well as tax per item.
 - The station manager must be able to review tax records upon demand.
 - The system will send periodic messages to customers, reminding them when their vehicles are due for maintenance. Normally, maintenance is needed every six months.
 - Customers can rent parking spaces in the station parking lot on a day-to-day basis. Each customer must request from the system an available parking space. The station manager can  view  a  monthly  report  summarizing  how  many  parking  spaces  were  available  or occupied.
 - The system maintains a repository of account information, accessible by account numbers and by customer name.
 - The station manager must be able to review accounting information upon demand.
 - The system can report an analysis of prices and discounts to the station manager upon request.
 - The system will automatically notify the owners of dormant accounts. That is, customers who did not make service station purchases over a two-month period will be contacted.
 - The system cannot be unavailable for more than 24 hours.
 - The system must protect customer information from unauthorized access.


[1]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: When the performance test is complete, we developers are certain that the system functions according to our understanding of the system description.The next step is conferring with the customer to make certain that the system works according to customer expectations. We join the customer to perform an acceptance test , where the system is checked against the customer's requirements description. Upon completion of acceptance testing, the accepted system is installed in the environment in which it will be used; a final installation test is run to make sure that the system still functions as it should.
Figure 8.3 illustrates the relationship among these testing steps. No matter the size of the system being tested, the type of testing described in each step is necessary for ensuring proper functioning. In this chapter, we focus primarily on unit and integration testing, where components are tested by themselves and then merged into a larger, working system. In Chapter 9, we will look at the remaining steps in the testing process, collectively called system testing . In these later steps, the system is viewed and tested as a whole rather than as separate pieces.


[2]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > System Testing Process
[CONTENT]: Once  the  test  team  is  convinced  that  the  functions  work  as  specified, the performance test compares the integrated components with the nonfunctional system requirements. These requirements, including security, accuracy, speed, and reliability, constrain the way in which the system functions are performed. For instance, a performance test of the bank account package evaluates the speed with which calculations are made, the precision of the computation, the security precautions required, and the response time to user inquiry.
At this point, the system operates the way the designers intend. We call this a verified  system ; it  is  the  designers'  interpretation  of  the  requirements  specification. Next, we  compare  the  system  with  the  customer's  expectations  by  reviewing  the requirements definition document. If we are satisfied that the system we have built meets the requirements, then we have a validated system ; that is, we have verified that the requirements have been met.
So far, all the tests have been run by the developers, based on their understanding of the system and its objectives. The customers also test the system, making sure that it meets their understanding of the requirements, which may be different from the developers'. This test, called an acceptance test , assures the customers that the system they requested is the system that was built for them.The acceptance test is sometimes run in its actual environment but often is run at a test facility different from the target location. For  this  reason, we  may  run  a  final installation  test to  allow  users  to  exercise system  functions  and  document  additional  problems  that  result  from  being  at  the actual site. For example, a naval system may be designed, built, and tested at the developer's site, configured as a ship might be, but not on an actual ship. Once the development site tests are complete, an additional set of installation tests may be run with the system on board each type of ship that will eventually use the system.


[3]
[SECTION]: Testing the System > 9.3 Performance Testing > Types of Performance Tests
[CONTENT]:  - Documentation tests ensure that we have written the required documents.Thus, if user guides, maintenance guides, and technical documents are needed, we verify that  these  materials  exist  and  that  the  information  they  contain  is  consistent, accurate, and easy to read. Moreover, sometimes requirements specify the format and audience of the documentation; we evaluate the documents for compliance.
 - Human factors tests investigate requirements dealing with the user interface to the  system. We  examine  display  screens, messages, report  formats, and  other aspects that may relate to ease of use. In addition, operator and user procedures are checked to see if they conform to ease of use requirements. These tests are sometimes called usability tests .
Many of these tests are much more difficult to administer than the function tests. Requirements must be explicit and detailed, and requirements quality is often reflected in the ease of performance testing. Unless a requirement is clear and testable, in the sense defined in Chapter 4, it is hard for the test team to know when the requirement is satisfied. Indeed, it may even be difficult to know how to administer a test because success is not well-defined.


[4]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: Unit
[FIGURE_DESCRIPTIONS]
[0] Diagram illustrating software testing steps from component code to system in use. The process starts with unit tests on individual component code. Multiple components undergo integration tests to form integrated modules. These modules are subjected to function tests to verify system functional requirements. Next, performance tests assess other software requirements. Acceptance tests validate customer requirements, ensuring the software is verified and validated. Finally, installation tests confirm user environment specifications, resulting in an accepted system ready for use. The diagram shows a flow from tested components through tested development stages to the final system in use, with arrows indicating progression and labels for each test type and requirement category.

","The defect of a configuration file not being placed in the correct directory in the customer's environment would most likely be exposed during:

b. installation testing

Installation testing is performed after the system is installed in the actual environment where it will be used, to ensure that the system functions correctly in that environment, including correct placement of files and configuration.",2.101,1.618
"The following questions are in reference to a hypothetical ""Gas Station Control System"" (or GSCS) that will be used to help manage an American-style gasoline or service station. Our hypothetical gas station basically provides two services:
• There is a small store that carries car parts. Inside the store is at least one cash register, operated by a cashier who is an employee of the
gas station.
• There are a number of gas pumps, at which customers can park their cars, interact with the system to pay via credit card, and then pump their own gas. Alternatively, the customer can pay for his or her gas via cash or credit card by going into the store and paying directly to the cashier.

Thus the GSCS has two main classes of users. The first is the cashier, who uses the GSCS to record purchases of car parts by customers. The GSCS must allow the cashier to enter the type and number of parts purchased, then compute the total
purchase price and handle the payment. Customers purchasing gasoline are the second type of user. These customers interface with the system at the gas pump, by specifying the amount and type of gas they will buy, paying either at the pump or to the cashier, and then pumping the gas themselves.
The system also has to interact with other automated systems to perform its tasks. For example, in order to accept credit card payments, the GSCS must interface with a system maintained by the credit card company. The credit card
system is responsible for checking that the customer's account is in good standing and can accommodate the amount of the purchase, and for debiting the customer's account and eventually reimbursing the gas station. The operation of
these external systems is beyond the scope of the GSCS, although the GSCS needs to know how the external systems will communicate the success or failure of their tasks.
The team has finished the design of the system and has begun coding.

24. A change is made to correct a fault. The fault has been fixed, but it has caused a fault in previously functioning code. Which type of testing would most likely expose this defect?
a. unit testing
b. acceptance testing
c. regression testing
d. performance testing
e. installation testing","
[0]
[SECTION]: Testing the Programs > 8.2 Testing Issues > Test Organization
[CONTENT]: When the performance test is complete, we developers are certain that the system functions according to our understanding of the system description.The next step is conferring with the customer to make certain that the system works according to customer expectations. We join the customer to perform an acceptance test , where the system is checked against the customer's requirements description. Upon completion of acceptance testing, the accepted system is installed in the environment in which it will be used; a final installation test is run to make sure that the system still functions as it should.
Figure 8.3 illustrates the relationship among these testing steps. No matter the size of the system being tested, the type of testing described in each step is necessary for ensuring proper functioning. In this chapter, we focus primarily on unit and integration testing, where components are tested by themselves and then merged into a larger, working system. In Chapter 9, we will look at the remaining steps in the testing process, collectively called system testing . In these later steps, the system is viewed and tested as a whole rather than as separate pieces.


[1]
[SECTION]: Testing the System > 9.1 Principles Of System Testing > System Testing Process
[CONTENT]: Once  the  test  team  is  convinced  that  the  functions  work  as  specified, the performance test compares the integrated components with the nonfunctional system requirements. These requirements, including security, accuracy, speed, and reliability, constrain the way in which the system functions are performed. For instance, a performance test of the bank account package evaluates the speed with which calculations are made, the precision of the computation, the security precautions required, and the response time to user inquiry.
At this point, the system operates the way the designers intend. We call this a verified  system ; it  is  the  designers'  interpretation  of  the  requirements  specification. Next, we  compare  the  system  with  the  customer's  expectations  by  reviewing  the requirements definition document. If we are satisfied that the system we have built meets the requirements, then we have a validated system ; that is, we have verified that the requirements have been met.
So far, all the tests have been run by the developers, based on their understanding of the system and its objectives. The customers also test the system, making sure that it meets their understanding of the requirements, which may be different from the developers'. This test, called an acceptance test , assures the customers that the system they requested is the system that was built for them.The acceptance test is sometimes run in its actual environment but often is run at a test facility different from the target location. For  this  reason, we  may  run  a  final installation  test to  allow  users  to  exercise system  functions  and  document  additional  problems  that  result  from  being  at  the actual site. For example, a naval system may be designed, built, and tested at the developer's site, configured as a ship might be, but not on an actual ship. Once the development site tests are complete, an additional set of installation tests may be run with the system on board each type of ship that will eventually use the system.


[2]
[SECTION]: Testing the System > 9.3 Performance Testing > Types of Performance Tests
[CONTENT]:  - Security tests ensure that the security requirements are met.We test system characteristics related to availability, integrity, and confidentiality of data and services.
 - Timing tests evaluate the requirements dealing with time to respond to a user and time to perform a function. If a transaction must take place within a specified time, the  test  performs  that  transaction  and  verifies  that  the  requirements  are  met. Timing  tests  are  usually  done  in  concert  with  stress  tests  to  see  if  the  timing requirements are met even when the system is extremely active.
 - Environmental tests look at the system's ability to perform at the installation site. If the requirements include tolerances for heat, humidity, motion, chemical presence, moisture, portability, electrical or magnetic fields, disruption of power, or any other environmental characteristic of the site, then our tests guarantee the system's proper performance under these conditions.
 - Quality  tests evaluate  the  system's  reliability, maintainability, and  availability. These tests include calculation of mean time to failure and mean time to repair, as well as average time to find and fix a fault. Quality tests are sometimes difficult to administer. For example, if a requirement specifies a long mean time between failures, it  may  be  infeasible  to  let  the  system  run  long  enough  to  verify  the required mean.
 - Recovery tests address response to the presence of faults or to the loss of data, power,devices,or services.We subject the system to a loss of system resources and see if it recovers properly.
 - Maintenance tests address the need for diagnostic tools and procedures to help in finding the source of problems. We may be required to supply diagnostic programs, memory maps, traces of transactions, circuit diagrams, and other aids. We verify that the aids exist and that they function properly.


[3]
[SECTION]: Maintaining the System > 11.3 Maintenance Problems > Technical Problems
[CONTENT]: Testing Difficulties. Testing can be a problem when finding time to test is difficult. For example, an airline reservations system must be available around the clock. It may be difficult to convince users to give up the system for two hours of testing.When a system performs a critical function such as air traffic control or patient monitoring, it may be impossible to bring it offline to test. In these cases, tests are often run on duplicate systems; then, tested changes are transferred to the production system.
In addition to time availability problems, there may not be good or appropriate test data available for testing the changes made. For instance, an earthquake prediction system may be modified to accommodate signals from a sensing device being developed.Test data must be simulated.Because scientists do not yet have a complete understanding of how earthquakes occur, accurate test data may be difficult to generate.
